Id,Name,PointsVieBase,ForceBase,DefenseBase,ExperienceBase,SpriteUrl,Type1,Type2
454,toxicroak,27,13,8,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/454.png,poison,fighting
455,carnivine,24,12,9,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png,grass,N/A
456,finneon,16,6,7,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/456.png,water,N/A
457,lumineon,23,8,9,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/457.png,water,N/A
458,mantyke,15,5,6,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/458.png,water,flying
459,snover,20,7,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/459.png,grass,ice
460,abomasnow,30,11,9,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/460.png,grass,ice
461,weavile,23,15,8,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/461.png,dark,ice
462,magnezone,23,8,14,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/462.png,electric,steel
463,lickilicky,36,10,11,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/463.png,normal,N/A
464,rhyperior,38,17,16,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/464.png,ground,rock
465,tangrowth,33,12,15,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/465.png,grass,N/A
466,electivire,25,15,8,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/466.png,electric,N/A
467,magmortar,25,11,8,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/467.png,fire,N/A
468,togekiss,28,6,11,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/468.png,fairy,flying
469,yanmega,28,9,10,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/469.png,bug,flying
470,leafeon,21,13,16,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/470.png,grass,N/A
471,glaceon,21,7,13,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/471.png,ice,N/A
472,gliscor,25,11,15,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/472.png,ground,flying
473,mamoswine,36,16,10,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/473.png,ice,ground
474,porygon-z,28,10,8,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/474.png,normal,N/A
475,gallade,22,15,8,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/475.png,psychic,fighting
476,probopass,20,6,18,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/476.png,rock,steel
477,dusknoir,15,12,16,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/477.png,ghost,N/A
478,froslass,23,10,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/478.png,ice,ghost
479,rotom,16,6,9,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/479.png,electric,ghost
480,uxie,25,9,16,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/480.png,psychic,N/A
481,mesprit,26,13,13,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/481.png,psychic,N/A
482,azelf,25,15,8,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/482.png,psychic,N/A
483,dialga,33,15,15,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/483.png,steel,dragon
484,palkia,30,15,12,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/484.png,water,dragon
485,heatran,30,11,13,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/485.png,fire,steel
486,regigigas,36,20,13,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/486.png,normal,N/A
487,giratina-altered,50,12,15,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/487.png,ghost,dragon
488,cresselia,40,8,13,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/488.png,psychic,N/A
489,phione,26,10,10,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/489.png,water,N/A
490,manaphy,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/490.png,water,N/A
491,darkrai,23,11,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/491.png,dark,N/A
492,shaymin-land,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/492.png,grass,N/A
493,arceus,40,15,15,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/493.png,normal,N/A
494,victini,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/494.png,psychic,fire
495,snivy,15,5,6,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/495.png,grass,N/A
496,servine,20,7,9,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/496.png,grass,N/A
497,serperior,25,9,11,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/497.png,grass,N/A
498,tepig,21,7,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/498.png,fire,N/A
499,pignite,30,11,6,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/499.png,fire,fighting
500,emboar,36,15,8,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/500.png,fire,fighting
501,oshawott,18,6,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/501.png,water,N/A
502,dewott,25,9,7,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/502.png,water,N/A
503,samurott,31,12,10,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/503.png,water,N/A
504,patrat,15,6,4,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/504.png,normal,N/A
505,watchog,20,10,8,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/505.png,normal,N/A
506,lillipup,15,7,5,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/506.png,normal,N/A
507,herdier,21,10,8,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/507.png,normal,N/A
508,stoutland,28,13,11,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/508.png,normal,N/A
509,purrloin,13,6,4,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/509.png,dark,N/A
510,liepard,21,11,6,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/510.png,dark,N/A
511,pansage,16,6,6,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png,grass,N/A
512,simisage,25,12,7,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png,grass,N/A
513,pansear,16,6,6,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png,fire,N/A
514,simisear,25,12,7,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png,fire,N/A
515,panpour,16,6,6,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png,water,N/A
516,simipour,25,12,7,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/516.png,water,N/A
517,munna,25,5,5,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/517.png,psychic,N/A
518,musharna,38,6,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/518.png,psychic,N/A
519,pidove,16,6,6,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/519.png,normal,flying
520,tranquill,20,9,7,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/520.png,normal,flying
521,unfezant,26,14,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/521.png,normal,flying
522,blitzle,15,7,4,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png,electric,N/A
523,zebstrika,25,12,7,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/523.png,electric,N/A
524,roggenrola,18,9,10,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/524.png,rock,N/A
525,boldore,23,13,13,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png,rock,N/A
526,gigalith,28,16,16,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/526.png,rock,N/A
527,woobat,21,5,5,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/527.png,psychic,flying
528,swoobat,22,7,6,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/528.png,psychic,flying
529,drilbur,20,10,5,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/529.png,ground,N/A
530,excadrill,36,16,7,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/530.png,ground,steel
531,audino,34,7,10,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/531.png,normal,N/A
532,timburr,25,10,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/532.png,fighting,N/A
533,gurdurr,28,13,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/533.png,fighting,N/A
534,conkeldurr,35,17,11,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/534.png,fighting,N/A
535,tympole,16,6,5,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/535.png,water,N/A
536,palpitoad,25,8,6,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/536.png,water,ground
537,seismitoad,35,11,9,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/537.png,water,ground
538,throh,40,12,10,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/538.png,fighting,N/A
539,sawk,25,15,9,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/539.png,fighting,N/A
540,sewaddle,15,6,8,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/540.png,bug,grass
541,swadloon,18,7,11,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/541.png,bug,grass
542,leavanny,25,12,10,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/542.png,bug,grass
543,venipede,10,5,7,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/543.png,bug,poison
544,whirlipede,13,6,12,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/544.png,bug,poison
545,scolipede,20,12,11,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/545.png,bug,poison
546,cottonee,13,5,7,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/546.png,grass,fairy
547,whimsicott,20,8,10,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/547.png,grass,fairy
548,petilil,15,5,6,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/548.png,grass,N/A
549,lilligant,23,7,9,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/549.png,grass,N/A
550,basculin-red-striped,23,11,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png,water,N/A
551,sandile,16,9,4,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/551.png,ground,dark
552,krokorok,20,10,5,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/552.png,ground,dark
553,krookodile,31,14,10,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/553.png,ground,dark
554,darumaka,23,11,5,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/554.png,fire,N/A
555,darmanitan-standard,35,17,6,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/555.png,fire,N/A
556,maractus,25,10,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/556.png,grass,N/A
557,dwebble,16,8,10,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/557.png,bug,rock
558,crustle,23,13,15,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/558.png,bug,rock
559,scraggy,16,9,8,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/559.png,dark,fighting
560,scrafty,21,11,14,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/560.png,dark,fighting
561,sigilyph,24,7,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/561.png,psychic,flying
562,yamask,12,5,10,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/562.png,ghost,N/A
563,cofagrigus,19,6,18,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/563.png,ghost,N/A
564,tirtouga,18,9,12,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/564.png,water,rock
565,carracosta,24,13,16,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/565.png,water,rock
566,archen,18,14,5,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/566.png,rock,flying
567,archeops,25,17,8,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/567.png,rock,flying
568,trubbish,16,6,7,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/568.png,poison,N/A
569,garbodor,26,11,10,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/569.png,poison,N/A
570,zorua,13,8,5,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/570.png,dark,N/A
571,zoroark,20,13,7,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/571.png,dark,N/A
572,minccino,18,6,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/572.png,normal,N/A
573,cinccino,25,11,7,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/573.png,normal,N/A
574,gothita,15,5,6,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/574.png,psychic,N/A
575,gothorita,20,5,8,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/575.png,psychic,N/A
576,gothitelle,23,6,11,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/576.png,psychic,N/A
577,solosis,15,5,5,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/577.png,psychic,N/A
578,duosion,21,5,6,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/578.png,psychic,N/A
579,reuniclus,36,8,9,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/579.png,psychic,N/A
580,ducklett,20,5,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/580.png,water,flying
581,swanna,25,10,7,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/581.png,water,flying
582,vanillite,12,6,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/582.png,ice,N/A
583,vanillish,17,8,8,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/583.png,ice,N/A
584,vanilluxe,23,11,10,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/584.png,ice,N/A
585,deerling,20,7,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/585.png,normal,grass
586,sawsbuck,26,12,8,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/586.png,normal,grass
587,emolga,18,9,7,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/587.png,electric,flying
588,karrablast,16,9,5,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/588.png,bug,N/A
589,escavalier,23,16,13,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/589.png,bug,steel
590,foongus,23,6,5,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/590.png,grass,poison
591,amoonguss,38,10,8,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/591.png,grass,poison
592,frillish-male,18,5,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/592.png,water,ghost
593,jellicent-male,33,7,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/593.png,water,ghost
594,alomomola,55,9,10,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/594.png,water,N/A
595,joltik,16,5,6,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/595.png,bug,electric
596,galvantula,23,9,7,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/596.png,bug,electric
597,ferroseed,14,6,11,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/597.png,grass,steel
598,ferrothorn,24,11,16,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/598.png,grass,steel
599,klink,13,6,8,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/599.png,steel,N/A
600,klang,20,10,11,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/600.png,steel,N/A
601,klinklang,20,12,14,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/601.png,steel,N/A
602,tynamo,11,6,5,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/602.png,electric,N/A
603,eelektrik,21,10,8,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/603.png,electric,N/A
604,eelektross,28,14,10,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/604.png,electric,N/A
605,elgyem,18,6,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/605.png,psychic,N/A
606,beheeyem,25,9,9,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/606.png,psychic,N/A
607,litwick,16,5,6,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/607.png,ghost,fire
608,lampent,20,5,7,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/608.png,ghost,fire
609,chandelure,20,6,11,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/609.png,ghost,fire
610,axew,15,10,7,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/610.png,dragon,N/A
611,fraxure,22,14,8,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/611.png,dragon,N/A
612,haxorus,25,18,11,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/612.png,dragon,N/A
613,cubchoo,18,8,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/613.png,ice,N/A
614,beartic,31,16,10,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/614.png,ice,N/A
615,cryogonal,26,6,6,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/615.png,ice,N/A
616,shelmet,16,5,10,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/616.png,bug,N/A
617,accelgor,26,8,5,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/617.png,bug,N/A
618,stunfisk,36,8,10,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/618.png,ground,electric
619,mienfoo,15,10,6,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/619.png,fighting,N/A
620,mienshao,21,15,7,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/620.png,fighting,N/A
621,druddigon,25,15,11,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/621.png,dragon,N/A
622,golett,19,9,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/622.png,ground,ghost
623,golurk,29,15,10,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/623.png,ground,ghost
624,pawniard,15,10,8,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/624.png,dark,steel
625,bisharp,21,15,12,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/625.png,dark,steel
626,bouffalant,31,13,11,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png,normal,N/A
627,rufflet,23,10,6,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/627.png,normal,flying
628,braviary,33,15,9,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/628.png,normal,flying
629,vullaby,23,6,9,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/629.png,dark,flying
630,mandibuzz,36,8,13,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/630.png,dark,flying
631,heatmor,28,12,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/631.png,fire,N/A
632,durant,19,13,14,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/632.png,bug,steel
633,deino,17,8,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/633.png,dark,dragon
634,zweilous,24,10,8,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/634.png,dark,dragon
635,hydreigon,30,13,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/635.png,dark,dragon
636,larvesta,18,10,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/636.png,bug,fire
637,volcarona,28,7,8,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/637.png,bug,fire
638,cobalion,30,11,16,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/638.png,steel,fighting
639,terrakion,30,16,11,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/639.png,rock,fighting
640,virizion,30,11,9,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/640.png,grass,fighting
641,tornadus-incarnate,26,14,8,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/641.png,flying,N/A
642,thundurus-incarnate,26,14,8,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/642.png,electric,flying
643,reshiram,33,15,12,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/643.png,dragon,fire
644,zekrom,33,18,15,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/644.png,dragon,electric
645,landorus-incarnate,29,15,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/645.png,ground,flying
646,kyurem,41,16,11,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/646.png,dragon,ice
647,keldeo-ordinary,30,9,11,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/647.png,water,fighting
648,meloetta-aria,33,9,9,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/648.png,normal,psychic
649,genesect,23,15,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/649.png,bug,steel
650,chespin,18,7,8,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/650.png,grass,N/A
651,quilladin,20,9,11,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/651.png,grass,N/A
652,chesnaught,29,13,15,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/652.png,grass,fighting
653,fennekin,13,5,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/653.png,fire,N/A
654,braixen,19,7,7,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png,fire,N/A
655,delphox,25,8,9,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/655.png,fire,psychic
656,froakie,13,7,5,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/656.png,water,N/A
657,frogadier,18,7,6,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png,water,N/A
658,greninja,24,11,8,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/658.png,water,dark
659,bunnelby,12,5,4,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png,normal,N/A
660,diggersby,28,7,9,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/660.png,normal,ground
661,fletchling,15,6,5,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/661.png,normal,flying
662,fletchinder,20,9,6,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/662.png,fire,flying
663,talonflame,26,10,8,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/663.png,fire,flying
664,scatterbug,12,5,5,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/664.png,bug,N/A
665,spewpa,15,5,7,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/665.png,bug,N/A
666,vivillon,26,6,6,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/666.png,bug,flying
667,litleo,20,6,7,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/667.png,fire,normal
668,pyroar-male,28,8,9,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/668.png,fire,normal
669,flabebe,14,5,4,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/669.png,fairy,N/A
670,floette,18,5,5,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/670.png,fairy,N/A
671,florges,26,8,8,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/671.png,fairy,N/A
672,skiddo,22,8,6,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/672.png,grass,N/A
673,gogoat,41,12,7,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/673.png,grass,N/A
674,pancham,22,10,7,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/674.png,fighting,N/A
675,pangoro,31,15,9,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/675.png,fighting,dark
676,furfrou,25,10,7,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/676.png,normal,N/A
677,espurr,20,6,6,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/677.png,psychic,N/A
678,meowstic-male,24,6,9,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/678.png,psychic,N/A
679,honedge,15,10,12,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/679.png,steel,ghost
